Block_Code,Block_Name,Band,Site,Date,DOC,SUVA,SPM,PC,PN
TD80,Toe Drain I-80,,TD80,2000-03-28,4.1,0.024,77,1.79,0.34
TD80,Toe Drain I-80,,TD80,2000-04-03,5.1,0.026,103,2.2,0.37
TD80,Toe Drain I-80,,TD80,2000-04-17,3.9,0.026,139,2.79,0.5
TD80,Toe Drain I-80,,TD80,2000-05-21,5.9,0.025,116,3.84,0.71
TD5,Toe Drain I-5,,TD5,2000-01-26,7.8,0.031,363,3.97,0.59
TD5,Toe Drain I-5,,TD5,2000-02-16,3.8,0.075,107,1.97,0.29
TD5,Toe Drain I-5,,TD5,2000-02-28,2,0.059,49,1.14,0.14
TD5,Toe Drain I-5,,TD5,2000-03-07,2,0.061,60,,
TD5,Toe Drain I-5,,TD5,2000-03-17,3.5,0.032,131,2.27,0.33
TD5,Toe Drain I-5,,TD5,2000-03-23,5.4,0.026,78,1.56,0.26
TD5,Toe Drain I-5,,TD5,2000-03-28,4.5,0.024,68,1.59,0.34
TD5,Toe Drain I-5,,TD5,2000-04-03,5.8,0.026,94,2.48,0.5
TD5,Toe Drain I-5,,TD5,2000-04-17,2.2,0.024,80,1.61,0.28
TD5,Toe Drain I-5,,TD5,2000-05-21,4.4,0.023,46,2.51,0.52
RCE16,Ridge Cut Canal,,RCE16,2000-01-26,8.3,0.029,135,3.04,0.42
RCE16,Ridge Cut Canal,,RCE16,2000-02-16,8.3,0.071,88,3.1,0.46
RCE16,Ridge Cut Canal,,RCE16,2000-02-28,7.9,0.041,78,1.48,0.19
RCE16,Ridge Cut Canal,,RCE16,2000-03-07,8.1,0.044,103,,
RCE16,Ridge Cut Canal,,RCE16,2000-03-17,7.4,0.027,87,2.1,0.29
RCE16,Ridge Cut Canal,,RCE16,2000-03-23,5.9,0.026,99,2.04,0.3
RCE16,Ridge Cut Canal,,RCE16,2000-03-28,5.3,0.025,102,2.05,0.4
RCE16,Ridge Cut Canal,,RCE16,2000-04-03,6.5,0.026,110,2.1,0.34
RCE16,Ridge Cut Canal,,RCE16,2000-04-17,4.2,0.024,54,1.95,0.42
CBD99E,Colusa Basin Drain,,CBD99E,2000-02-28,7.9,0.051,79,1.41,0.17
CBD99E,Colusa Basin Drain,,CBD99E,2000-05-21,6.1,0.024,67,1.96,0.36
CC113,Cache Creek,,CC113,2000-01-26,5,0.031,151,3.31,0.48
CC113,Cache Creek,,CC113,2000-02-16,4.1,0.049,271,3.04,0.39
CC113,Cache Creek,,CC113,2000-02-28,3.5,0.05,401,3.99,0.44
CC113,Cache Creek,,CC113,2000-03-07,2.8,0.04,382,,
CC113,Cache Creek,,CC113,2000-03-17,2.3,0.02,87,1.35,0.14
CC113,Cache Creek,,CC113,2000-03-23,2,0.02,38,0.59,0.07
CC113,Cache Creek,,CC113,2000-03-28,2.3,0.02,15,0.52,0.1
CC113,Cache Creek,,CC113,2000-04-03,1.3,0.023,25,0.49,0.08
CC113,Cache Creek,,CC113,2000-04-17,1.7,0.023,32,0.73,0.12
CC113,Cache Creek,,CC113,2000-05-21,1.8,0.02,28,0.7,0.12
WS102,Willow Slough,,WS102,2000-02-16,7.8,0.071,186,3.58,0.51
WS102,Willow Slough,,WS102,2000-02-28,8.9,0.053,187,1.69,0.21
WS102,Willow Slough,,WS102,2000-03-07,7.6,0.048,193,,
WS102,Willow Slough,,WS102,2000-03-17,2.3,0.04,96,1.67,0.28
WS102,Willow Slough,,WS102,2000-03-23,2.3,0.023,22,0.96,0.16
WS102,Willow Slough,,WS102,2000-03-28,1.9,0.023,39,4.3,0.78
WS102,Willow Slough,,WS102,2000-04-03,3,0.023,83,1.45,0.27
WS102,Willow Slough,,WS102,2000-04-17,3.8,0.034,193,2.79,0.46
WS102,Willow Slough,,WS102,2000-05-21,4.1,0.024,52,1.32,0.25
PCD,Putah Creek,,PCD,2000-02-16,6.4,0.058,135,1.91,0.26
PCD,Putah Creek,,PCD,2000-02-28,4.1,0.037,105,1.84,0.21
PCD,Putah Creek,,PCD,2000-03-07,3,0.032,57,,
PCD,Putah Creek,,PCD,2000-03-17,2.4,0.021,18,0.46,0.07
PCD,Putah Creek,,PCD,2000-03-23,2.5,0.02,15,0.42,0.05
PCD,Putah Creek,,PCD,2000-03-28,2.5,0.02,10,0.25,0.04
PCD,Putah Creek,,PCD,2000-04-03,2.7,0.02,17,0.39,0.06
PCD,Putah Creek,,PCD,2000-04-17,2.8,0.023,21,0.84,0.15
PCD,Putah Creek,,PCD,2000-05-21,2.4,0.021,15,0.47,0.07
Boat_A,Boat Sample – Band A,A,BAND A,2000-02-17,,,47,,
Boat_B,Boat Sample – Band B,B,BAND B,2000-02-17,,,102,,
Boat_C,Boat Sample – Band C,C,BAND C,2000-02-17,3.9,0.07,74,1.26,0.14
Boat_D,Boat Sample – Band D,D,BAND D,2000-02-17,4.8,0.084,73,1.37,0.18
Boat_A,Boat Sample – Band A,A,BAND A,2000-02-18,,,78,,
Boat_B,Boat Sample – Band B,B,BAND B,2000-02-18,,,104,,
Boat_C,Boat Sample – Band C,C,BAND C,2000-02-18,,,82,,
Boat_B,Boat Sample – Band B,B,BAND B,2000-02-19,,,57,,
Boat_C,Boat Sample – Band C,C,BAND C,2000-02-19,,,58,,
Boat_D,Boat Sample – Band D,D,BAND D,2000-02-19,,,72,,
Boat_A,Boat Sample – Band A,A,BAND A,2000-02-20,2.5,0.076,47,0.74,0.1
Boat_B,Boat Sample – Band B,B,BAND B,2000-02-20,2.2,0.064,37,0.54,0.07
Boat_C,Boat Sample – Band C,C,BAND C,2000-02-20,2.6,0.072,33,0.59,0.06
Boat_D,Boat Sample – Band D,D,BAND D,2000-02-20,7,0.051,47,1.26,0.17
Outlet,Southern Outlet,,PS-1,2000-03-23,,,130,,
Outlet,Southern Outlet,,PS-2,2000-03-23,,,98,,
Outlet,Southern Outlet,,PS-3,2000-03-23,,,77,,
Outlet,Southern Outlet,,PS-1,2000-04-11,,,79,,
Outlet,Southern Outlet,,PS-2,2000-04-11,,,84,,
Outlet,Southern Outlet,,LH-1,2000-04-11,,,98,,
Outlet,Southern Outlet,,YB-1,2000-04-11,,,40,,
