Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
6,Davis,Sacramento Valley,11/2/1982,306,0.10,F,0.00, ,327, ,9.5, ,69.9, ,44.0, ,54.9, ,94, ,40, ,64, ,43.2, ,6.3, ,151.3, ,59.4, 
6,Davis,Sacramento Valley,11/3/1982,307,0.09,F,0.00, ,323, ,10.8, ,77.3, ,40.9, ,53.0, ,95, ,44, ,79, ,46.6, ,3.0, ,71.0, ,58.5, 
6,Davis,Sacramento Valley,11/4/1982,308,0.07,F,0.00, ,326, ,10.7, ,78.4, ,40.4, ,53.8, ,99, ,36, ,76, ,46.3, ,2.8, ,66.3, ,57.8, 
6,Davis,Sacramento Valley,11/5/1982,309,0.08,F,0.04, ,318, ,10.7, ,76.0, ,40.3, ,53.5, ,96, ,38, ,76, ,46.3, ,3.1, ,75.6, ,57.6, 
6,Davis,Sacramento Valley,11/6/1982,310,0.08,F,0.00, ,282, ,10.7, ,66.0, ,40.4, ,53.0, ,99, ,53, ,78, ,46.2, ,5.5, ,132.0, ,57.4, 
6,Davis,Sacramento Valley,11/7/1982,311,0.07,F,0.00, ,240, ,7.6, ,69.6, ,43.2, ,52.5, ,88, ,26, ,57, ,37.6, ,5.7, ,136.4, ,57.4, 
6,Davis,Sacramento Valley,11/8/1982,312,0.07,F,0.00, ,224, ,8.9, ,57.3, ,36.0, ,46.6, ,95, ,58, ,82, ,41.6, ,5.7, ,137.1, ,56.9, 
6,Davis,Sacramento Valley,11/9/1982,313,0.07,F,0.28, ,52, ,8.6, ,48.7, ,34.2, ,42.6, ,96, ,85, ,92, ,40.5, ,6.5, ,154.9, ,55.1, 
6,Davis,Sacramento Valley,11/10/1982,314,0.07,F,0.28,Y,52, ,8.6, ,48.7, ,34.2, ,42.6, ,98, ,82, ,92, ,40.5, ,6.5, ,154.9, ,55.1, 
6,Davis,Sacramento Valley,11/11/1982,315,0.07,F,0.08, ,107, ,8.7, ,56.5, ,35.6, ,41.7, ,100, ,74, ,96, ,40.8, ,4.4, ,106.4, ,53.9, 
6,Davis,Sacramento Valley,11/12/1982,316,0.06,F,0.00, ,125, ,8.5, ,50.8, ,34.2, ,40.7, ,100, ,89, ,98, ,40.3, ,4.2, ,101.7, ,53.7, 
6,Davis,Sacramento Valley,11/13/1982,317,0.06,F,0.00, ,303, ,8.1, ,61.8, ,28.7, ,42.2, ,100, ,54, ,88, ,39.0, ,4.1,H,99.6, ,52.4, 
6,Davis,Sacramento Valley,11/14/1982,318,0.06,F,0.00, ,94, ,8.8, ,50.5, ,36.0, ,42.4, ,100, ,81, ,95, ,41.1, ,2.5, ,61.2, ,52.6, 
6,Davis,Sacramento Valley,11/15/1982,319,0.05,F,0.00, ,76, ,7.8, ,45.9, ,36.9, ,40.3, ,96, ,89, ,92, ,38.3, ,3.8, ,91.4, ,52.5, 
6,Davis,Sacramento Valley,11/16/1982,320,0.05,F,0.00, ,51, ,7.5, ,43.6, ,36.0, ,39.5, ,95, ,86, ,92, ,37.2, ,3.2, ,77.5, ,52.4, 
6,Davis,Sacramento Valley,11/17/1982,321,0.05,F,0.67, ,37, ,8.8, ,47.5, ,40.0, ,43.5, ,93, ,89, ,92, ,41.3, ,6.0, ,143.8, ,52.2, 
6,Davis,Sacramento Valley,11/18/1982,322,0.05,F,1.18, ,74, ,11.1, ,59.0, ,45.9, ,50.4, ,92, ,84, ,89, ,47.2, ,12.2, ,292.6, ,52.1, 
6,Davis,Sacramento Valley,11/19/1982,323,0.05,F,0.04, ,243, ,10.3, ,63.8, ,42.2, ,50.9, ,91, ,57, ,81, ,45.4, ,5.3, ,126.7, ,52.8, 
6,Davis,Sacramento Valley,11/20/1982,324,0.05,F,0.00, ,281, ,8.1, ,66.5, ,33.8, ,45.9, ,96, ,46, ,77, ,39.2, ,1.9,H,46.1, ,52.2, 
6,Davis,Sacramento Valley,11/21/1982,325,0.05,F,0.04, ,180, ,8.8, ,58.0, ,31.1, ,43.9, ,98, ,74, ,90, ,41.1, ,3.5,H,84.6, ,51.2, 
6,Davis,Sacramento Valley,11/22/1982,326,0.05,F,0.79, ,24, ,9.4, ,47.2, ,43.2, ,45.1, ,93, ,90, ,92, ,42.8, ,7.9, ,189.4, ,51.5, 
6,Davis,Sacramento Valley,11/23/1982,327,0.05,F,0.08, ,87, ,10.6, ,55.4, ,43.5, ,48.9, ,93, ,85, ,90, ,46.2, ,6.6, ,159.3, ,51.8, 
6,Davis,Sacramento Valley,11/24/1982,328,0.07, ,0.00, ,267, ,8.8, ,59.2, ,36.0, ,48.1, ,92, ,57, ,77, ,41.1, ,7.0, ,168.0, ,51.7, 
6,Davis,Sacramento Valley,11/25/1982,329,0.04, ,0.00, ,197, ,8.0, ,57.4, ,30.3, ,41.0, ,97, ,71, ,91, ,38.7, ,2.8, ,67.2, ,50.5, 
6,Davis,Sacramento Valley,11/26/1982,330,0.01, ,0.04, ,50, ,9.0, ,48.2, ,39.9, ,43.3, ,100, ,87, ,95, ,41.8, ,5.0, ,120.5, ,51.0, 
6,Davis,Sacramento Valley,11/27/1982,331,0.02, ,0.16, ,63, ,10.0, ,53.3, ,42.7, ,47.3, ,94, ,85, ,91, ,44.7, ,4.5, ,109.0, ,51.3, 
6,Davis,Sacramento Valley,11/28/1982,332,0.03, ,0.31, ,69, ,11.9, ,58.3, ,49.4, ,52.5, ,91, ,84, ,88, ,49.1, ,9.9, ,236.6, ,52.5, 
6,Davis,Sacramento Valley,11/29/1982,333,0.02, ,0.79, ,24, ,11.6, ,55.6, ,48.7, ,52.0, ,90, ,86, ,88, ,48.6, ,9.8, ,235.1, ,53.2, 
6,Davis,Sacramento Valley,11/30/1982,334,0.04, ,0.43, ,79, ,9.6, ,54.1, ,43.6, ,50.2, ,89, ,69, ,77, ,43.4, ,10.1, ,242.6, ,52.8, 
6,Davis,Sacramento Valley,12/1/1982,335,0.05, ,0.00, ,250, ,8.0, ,56.8, ,37.6, ,46.6, ,88, ,53, ,74, ,38.7, ,4.9, ,117.7, ,51.6, 
6,Davis,Sacramento Valley,12/2/1982,336,0.02, ,0.04, ,92, ,8.9, ,51.7, ,39.9, ,45.5, ,90, ,78, ,86, ,41.6, ,3.0, ,72.9, ,51.0, 
6,Davis,Sacramento Valley,12/3/1982,337,0.04, ,0.00, ,189, ,9.7, ,63.8, ,42.3, ,49.3, ,91, ,58, ,81, ,43.6, ,2.8, ,66.8, ,51.6, 
6,Davis,Sacramento Valley,12/4/1982,338,0.03, ,0.00, ,129, ,9.7, ,56.9, ,40.3, ,46.3, ,96, ,82, ,91, ,43.7, ,3.6, ,86.5, ,51.4, 
6,Davis,Sacramento Valley,12/5/1982,339,0.03,F,0.00,H,73,H,10.6,H,53.9, ,41.4, ,48.7,H,99,H,84,H,91, ,46.1, ,3.1,H,73.9, ,51.4,H
6,Davis,Sacramento Valley,12/6/1982,340,0.01, ,0.04, ,38, ,10.1, ,52.2, ,44.3, ,48.4, ,93, ,73, ,88, ,44.9, ,4.2, ,101.3, ,52.2, 
6,Davis,Sacramento Valley,12/7/1982,341,0.13, ,0.00, ,248, ,6.5, ,54.9, ,41.4, ,47.7, ,66, ,46, ,58, ,33.7, ,19.8, ,475.1, ,50.8, 
6,Davis,Sacramento Valley,12/8/1982,342,0.14, ,0.00, ,228, ,5.5, ,57.2, ,40.8, ,48.2, ,66, ,38, ,48, ,29.6, ,18.1, ,433.3, ,48.9, 
6,Davis,Sacramento Valley,12/9/1982,343,0.07, ,0.00, ,244, ,6.8, ,62.4, ,32.9, ,46.1, ,91, ,39, ,64, ,34.6, ,6.4, ,153.4, ,48.5, 
6,Davis,Sacramento Valley,12/10/1982,344,0.04, ,0.04, ,216, ,7.4, ,56.1, ,31.4, ,40.9, ,96, ,61, ,85, ,36.7, ,4.0,H,95.3, ,48.0, 
6,Davis,Sacramento Valley,12/11/1982,345,0.04, ,0.00, ,232, ,7.4, ,60.5, ,29.2, ,41.0, ,96, ,60, ,85, ,36.8, ,2.8,H,66.7, ,47.2, 
6,Davis,Sacramento Valley,12/12/1982,346,0.02, ,0.08, ,120, ,7.9, ,50.9, ,29.5, ,40.6, ,98, ,76, ,92, ,38.4, ,4.1,H,97.3, ,46.9, 
6,Davis,Sacramento Valley,12/13/1982,347,0.02, ,0.00, ,66, ,7.9, ,44.0, ,32.7, ,40.2, ,100, ,85, ,93, ,38.5, ,4.9, ,118.7, ,47.6, 
6,Davis,Sacramento Valley,12/14/1982,348,0.01, ,0.00, ,37, ,8.0, ,44.2, ,39.3, ,41.6, ,92, ,86, ,89, ,38.6, ,4.0, ,96.5, ,48.1, 
6,Davis,Sacramento Valley,12/15/1982,349,0.02, ,0.04, ,75, ,9.2, ,53.7, ,40.8, ,45.9, ,90, ,82, ,87, ,42.3, ,5.8, ,139.5, ,48.4, 
6,Davis,Sacramento Valley,12/16/1982,350,0.05, ,0.00, ,135, ,10.0, ,57.1, ,41.5, ,49.9, ,88, ,74, ,82, ,44.6, ,10.1, ,242.8, ,49.0, 
6,Davis,Sacramento Valley,12/17/1982,351,0.05, ,0.00, ,194, ,10.0, ,61.5, ,35.9, ,50.0, ,89, ,66, ,82, ,44.6, ,6.3, ,151.2, ,50.2, 
6,Davis,Sacramento Valley,12/18/1982,352,0.04, ,0.04, ,226, ,7.6, ,60.8, ,33.5, ,42.8, ,91, ,57, ,81, ,37.3, ,3.1, ,73.6, ,49.1, 
6,Davis,Sacramento Valley,12/19/1982,353,0.04, ,0.00, ,224, ,7.7, ,56.2, ,30.9, ,40.8, ,97, ,66, ,89, ,37.8, ,3.9,H,93.0, ,47.8, 
6,Davis,Sacramento Valley,12/20/1982,354,0.02, ,0.35, ,41, ,9.8, ,53.6, ,41.3, ,46.9, ,97, ,82, ,90, ,44.0, ,6.7, ,161.0, ,48.6, 
6,Davis,Sacramento Valley,12/21/1982,355,0.02, ,0.71, ,28, ,10.2, ,52.8, ,42.7, ,49.2, ,88, ,78, ,86, ,45.0, ,9.5, ,227.7, ,49.9, 
6,Davis,Sacramento Valley,12/22/1982,356,0.02,F,,M,,M,,M,,M,,M,,M,88,H,88,H,,M,,M,,M,,M,,M
6,Davis,Sacramento Valley,12/23/1982,357,0.02,F,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
6,Davis,Sacramento Valley,12/24/1982,358,0.02,F,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
6,Davis,Sacramento Valley,12/25/1982,359,0.02,F,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
6,Davis,Sacramento Valley,12/26/1982,360,0.02,F,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
6,Davis,Sacramento Valley,12/27/1982,361,0.02,F,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
6,Davis,Sacramento Valley,12/28/1982,362,0.02,F,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
6,Davis,Sacramento Valley,12/29/1982,363,0.02,F,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
6,Davis,Sacramento Valley,12/30/1982,364,0.02,F,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
6,Davis,Sacramento Valley,12/31/1982,365,0.02,F,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
6,Davis,Sacramento Valley,1/1/1983,001,0.02,F,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
6,Davis,Sacramento Valley,1/2/1983,002,0.03,F,,M,,M,,M,,M,,M,,M,83,H,83,H,,M,,M,,M,,M,,M
6,Davis,Sacramento Valley,1/3/1983,003,0.02, ,,M,,M,,M,,M,,M,,M,87, ,73, ,,M,,M,,M,,M,,M
6,Davis,Sacramento Valley,1/4/1983,004,0.02, ,,M,,M,,M,,M,,M,,M,81, ,76, ,,M,,M,,M,,M,,M
6,Davis,Sacramento Valley,1/5/1983,005,0.02, ,0.00, ,45, ,6.3, ,40.8, ,35.4, ,37.9, ,90, ,78, ,82, ,32.9, ,3.6, ,86.4, ,45.1, 
6,Davis,Sacramento Valley,1/6/1983,006,0.02, ,0.00, ,48, ,6.6, ,41.0, ,34.9, ,38.2, ,92, ,78, ,84, ,33.9, ,2.9, ,70.1, ,45.2, 
6,Davis,Sacramento Valley,1/7/1983,007,0.03, ,0.00, ,96, ,7.1, ,52.4, ,37.0, ,40.5, ,94, ,72, ,83, ,35.7, ,4.9, ,116.7, ,45.6, 
6,Davis,Sacramento Valley,1/8/1983,008,0.02, ,0.00, ,32, ,7.0, ,42.0, ,38.6, ,40.0, ,89, ,79, ,83, ,35.4, ,5.0, ,120.5, ,45.8, 
6,Davis,Sacramento Valley,1/9/1983,009,0.14, ,0.00, ,257, ,5.5, ,64.2, ,33.1, ,49.2, ,91, ,24, ,46, ,29.3, ,11.0, ,262.8, ,45.8, 
6,Davis,Sacramento Valley,1/10/1983,010,0.03, ,0.00, ,161, ,6.1, ,58.6, ,28.0, ,38.7, ,86, ,50, ,76, ,31.8, ,2.8, ,68.1, ,45.4, 
6,Davis,Sacramento Valley,1/11/1983,011,0.04, ,0.04, ,165, ,6.6, ,47.7, ,27.8, ,38.2, ,92, ,72, ,84, ,33.8, ,3.3, ,78.6, ,44.9, 
6,Davis,Sacramento Valley,1/12/1983,012,0.02, ,0.00, ,70, ,6.5, ,42.4, ,35.3, ,37.5, ,92, ,76, ,85, ,33.4, ,3.2, ,77.5, ,45.4, 
6,Davis,Sacramento Valley,1/13/1983,013,0.03, ,0.00, ,141, ,6.2, ,46.2, ,33.6, ,36.9, ,92, ,70, ,84, ,32.5, ,3.7, ,88.6, ,45.3, 
6,Davis,Sacramento Valley,1/14/1983,014,0.03, ,0.00, ,103, ,6.3, ,49.2, ,34.2, ,37.6, ,92, ,71, ,83, ,32.9, ,3.4, ,80.5, ,45.2, 
6,Davis,Sacramento Valley,1/15/1983,015,0.03, ,0.20, ,101, ,7.0, ,51.1, ,36.3, ,41.8, ,87, ,68, ,77, ,35.3, ,2.5, ,60.8, ,45.7, 
6,Davis,Sacramento Valley,1/16/1983,016,0.03, ,0.20, ,69, ,7.8, ,52.1, ,42.8, ,45.6, ,82, ,65, ,75, ,38.3, ,3.3, ,78.4, ,46.7, 
6,Davis,Sacramento Valley,1/17/1983,017,0.03, ,0.04, ,57, ,8.5, ,51.4, ,44.6, ,46.6, ,87, ,67, ,79, ,40.3, ,3.7, ,87.7, ,47.6, 
6,Davis,Sacramento Valley,1/18/1983,018,0.04, ,0.67,H,43,H,8.6,H,50.0, ,43.1, ,46.8,H,90,H,68,H,79, ,40.6, ,9.9,H,236.4, ,47.9,H
6,Davis,Sacramento Valley,1/19/1983,019,0.06, ,0.00, ,240, ,6.8, ,60.6, ,35.2, ,45.7, ,78, ,44, ,65, ,34.7, ,5.5, ,130.9, ,47.7, 
6,Davis,Sacramento Valley,1/20/1983,020,0.06, ,0.00,H,274,H,5.9,H,57.6, ,29.0, ,41.3,H,81,H,44,H,67, ,31.1, ,3.4,H,81.2, ,46.2,H
6,Davis,Sacramento Valley,1/21/1983,021,0.04, ,0.08, ,103, ,7.1, ,51.8, ,35.8, ,43.1, ,80, ,67, ,75, ,35.6, ,3.7, ,89.0, ,46.2, 
6,Davis,Sacramento Valley,1/22/1983,022,0.04, ,1.02, ,59, ,8.7, ,53.4, ,40.8, ,47.4, ,87, ,75, ,78, ,41.0, ,8.0, ,193.0, ,47.2, 
6,Davis,Sacramento Valley,1/23/1983,023,0.04,F,1.30,H,81,H,10.1,H,57.9, ,41.0, ,50.7,H,73,H,71,H,80, ,44.7, ,9.4,H,224.5, ,48.2,H
6,Davis,Sacramento Valley,1/24/1983,024,0.04,F,,M,,M,,M,,M,,M,,M,73,H,73,H,,M,,M,,M,,M,,M
6,Davis,Sacramento Valley,1/25/1983,025,0.04,F,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
6,Davis,Sacramento Valley,1/26/1983,026,0.06, ,1.18,H,32,H,10.5,H,60.2, ,52.6, ,54.9,H,77,H,62,H,72, ,45.9, ,14.3,H,342.1, ,50.7,H
6,Davis,Sacramento Valley,1/27/1983,027,0.06,F,0.31, ,164, ,9.4, ,57.6, ,45.0, ,50.4, ,78, ,71, ,75, ,42.8, ,6.9, ,166.6, ,51.4, 
6,Davis,Sacramento Valley,1/28/1983,028,0.06,F,0.31, ,89, ,8.7, ,53.4, ,43.4, ,48.6, ,79, ,70, ,74, ,40.9, ,6.1, ,147.4, ,50.7, 
6,Davis,Sacramento Valley,1/29/1983,029,0.06,F,0.39, ,126, ,8.2, ,54.0, ,39.8, ,46.8, ,79, ,68, ,75, ,39.3, ,6.7, ,159.7, ,50.1, 
6,Davis,Sacramento Valley,1/30/1983,030,0.06,F,0.00, ,240, ,7.9, ,62.3, ,36.7, ,45.8, ,88, ,54, ,75, ,38.5, ,3.7, ,88.7, ,49.2, 
6,Davis,Sacramento Valley,1/31/1983,031,0.06,F,0.00, ,290, ,7.6, ,60.9, ,35.6, ,45.3, ,85, ,59, ,74, ,37.5, ,3.4, ,80.7, ,48.7, 
6,Davis,Sacramento Valley,2/1/1983,032,0.03,F,0.00, ,277, ,7.7, ,59.0, ,33.0, ,44.3, ,90, ,60, ,77, ,37.7, ,3.7, ,89.9, ,47.8, 
6,Davis,Sacramento Valley,2/2/1983,033,0.01,F,0.00, ,103, ,7.9, ,53.1, ,41.0, ,46.4, ,78, ,67, ,74, ,38.5, ,5.0, ,120.3, ,48.1, 
6,Davis,Sacramento Valley,2/3/1983,034,0.04,F,0.00, ,280, ,7.5, ,59.0, ,34.8, ,46.1, ,80, ,51, ,70, ,37.0, ,3.5, ,83.0, ,48.4, 
6,Davis,Sacramento Valley,2/4/1983,035,0.03,F,0.04, ,240, ,7.3, ,61.2, ,31.2, ,44.3, ,84, ,56, ,74, ,36.6, ,2.6, ,61.4, ,47.8, 
6,Davis,Sacramento Valley,2/5/1983,036,0.01,F,0.24, ,70, ,8.5, ,52.4, ,44.6, ,47.9, ,76, ,71, ,75, ,40.2, ,7.8, ,187.5, ,48.3, 
6,Davis,Sacramento Valley,2/6/1983,037,0.01,F,0.51, ,39, ,9.0, ,51.3, ,46.7, ,49.1, ,77, ,75, ,76, ,41.9, ,12.3, ,295.5, ,48.7, 
6,Davis,Sacramento Valley,2/7/1983,038,0.00,F,0.67, ,43, ,10.1, ,57.1, ,48.8, ,52.2, ,84, ,68, ,76, ,44.8, ,9.5, ,227.6, ,49.9, 
6,Davis,Sacramento Valley,2/8/1983,039,0.01,F,0.08, ,98, ,9.0, ,55.3, ,47.8, ,50.5, ,77, ,66, ,72, ,41.8, ,10.3, ,247.7, ,50.4, 
6,Davis,Sacramento Valley,2/9/1983,040,0.01,F,0.04, ,135, ,9.7, ,59.3, ,46.7, ,53.1, ,76, ,62, ,70, ,43.6, ,8.8, ,212.0, ,50.7, 
6,Davis,Sacramento Valley,2/10/1983,041,0.02,F,0.00, ,180, ,10.4, ,66.1, ,48.8, ,55.6, ,75, ,60, ,69, ,45.5, ,4.6, ,109.5, ,51.8, 
6,Davis,Sacramento Valley,2/11/1983,042,0.03,F,0.20, ,221, ,10.4, ,65.0, ,43.4, ,54.1, ,86, ,60, ,73, ,45.5, ,5.2, ,124.6, ,52.5, 
6,Davis,Sacramento Valley,2/12/1983,043,0.01,F,0.79, ,87, ,10.5, ,60.0, ,50.2, ,54.6, ,74, ,66, ,72, ,45.9, ,10.4, ,248.7, ,53.0, 
6,Davis,Sacramento Valley,2/13/1983,044,0.04,F,0.00, ,340, ,8.5, ,69.4, ,43.0, ,52.3, ,77, ,40, ,63, ,40.2, ,5.2,H,124.7, ,53.0, 
6,Davis,Sacramento Valley,2/14/1983,045,0.03,F,0.00, ,291, ,8.7, ,63.4, ,41.5, ,49.9, ,82, ,59, ,71, ,41.0, ,3.6, ,86.3, ,52.3, 
6,Davis,Sacramento Valley,2/15/1983,046,0.00,F,0.04, ,118, ,8.9, ,56.8, ,39.5, ,49.9, ,83, ,63, ,73, ,41.5, ,4.5, ,107.7, ,51.9, 
6,Davis,Sacramento Valley,2/16/1983,047,0.03,F,0.00, ,287, ,9.3, ,68.3, ,42.7, ,51.7, ,84, ,52, ,72, ,42.8, ,4.5, ,108.8, ,52.3, 
6,Davis,Sacramento Valley,2/17/1983,048,0.05,F,0.04, ,221, ,9.8, ,63.7, ,38.3, ,51.3, ,92, ,58, ,76, ,43.9, ,7.1, ,170.8, ,52.3, 
