"Plot Title: 22368008"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 22368008, SEN S/N: 22368008)","Temp, °F (LGR S/N: 22368008, SEN S/N: 22368008)","Coupler Detached (LGR S/N: 22368008)","Coupler Attached (LGR S/N: 22368008)","Host Connected (LGR S/N: 22368008)","End Of File (LGR S/N: 22368008)"
51,10/31/25 11:00:00 AM,384.0,61.56,,,,
52,10/31/25 11:30:00 AM,384.6,61.57,,,,
53,10/31/25 12:00:00 PM,384.5,61.68,,,,
54,10/31/25 12:30:00 PM,384.8,61.75,,,,
55,10/31/25 01:00:00 PM,393.9,62.85,,,,
56,10/31/25 01:30:00 PM,397.1,63.18,,,,
57,10/31/25 02:00:00 PM,396.2,63.18,,,,
58,10/31/25 02:30:00 PM,399.4,63.48,,,,
59,10/31/25 03:00:00 PM,401.4,63.73,,,,
60,10/31/25 03:30:00 PM,402.6,64.00,,,,
61,10/31/25 04:00:00 PM,402.3,64.02,,,,
62,10/31/25 04:30:00 PM,401.3,63.90,,,,
63,10/31/25 05:00:00 PM,401.2,63.91,,,,
64,10/31/25 05:30:00 PM,400.1,63.91,,,,
65,10/31/25 06:00:00 PM,399.0,63.84,,,,
66,10/31/25 06:30:00 PM,398.9,63.81,,,,
67,10/31/25 07:00:00 PM,399.7,63.90,,,,
68,10/31/25 07:30:00 PM,400.8,64.11,,,,
69,10/31/25 08:00:00 PM,401.1,64.13,,,,
70,10/31/25 08:30:00 PM,401.3,64.15,,,,
71,10/31/25 09:00:00 PM,401.4,64.11,,,,
72,10/31/25 09:30:00 PM,401.3,64.08,,,,
73,10/31/25 10:00:00 PM,401.2,64.09,,,,
74,10/31/25 10:30:00 PM,401.0,64.04,,,,
75,10/31/25 11:00:00 PM,401.0,64.02,,,,
76,10/31/25 11:30:00 PM,400.8,64.02,,,,
77,11/01/25 12:00:00 AM,400.4,63.93,,,,
78,11/01/25 12:30:00 AM,400.3,63.82,,,,
79,11/01/25 01:00:00 AM,400.0,63.72,,,,
80,11/01/25 01:30:00 AM,399.5,63.61,,,,
81,11/01/25 02:00:00 AM,398.7,63.36,,,,
82,11/01/25 02:30:00 AM,398.0,63.12,,,,
83,11/01/25 03:00:00 AM,397.7,62.96,,,,
84,11/01/25 03:30:00 AM,397.5,62.89,,,,
85,11/01/25 04:00:00 AM,397.0,62.82,,,,
86,11/01/25 04:30:00 AM,396.2,62.64,,,,
87,11/01/25 05:00:00 AM,395.3,62.44,,,,
88,11/01/25 05:30:00 AM,395.6,62.38,,,,
89,11/01/25 06:00:00 AM,395.3,62.29,,,,
90,11/01/25 06:30:00 AM,394.9,62.19,,,,
91,11/01/25 07:00:00 AM,394.6,62.08,,,,
92,11/01/25 07:30:00 AM,394.5,61.97,,,,
93,11/01/25 08:00:00 AM,394.7,61.93,,,,
94,11/01/25 08:30:00 AM,394.6,61.92,,,,
95,11/01/25 09:00:00 AM,394.8,61.88,,,,
96,11/01/25 09:30:00 AM,394.7,61.79,,,,
97,11/01/25 10:00:00 AM,394.7,61.79,,,,
98,11/01/25 10:30:00 AM,394.2,61.79,,,,
99,11/01/25 11:00:00 AM,394.8,61.88,,,,
100,11/01/25 11:30:00 AM,394.9,61.95,,,,
101,11/01/25 12:00:00 PM,396.1,62.26,,,,
102,11/01/25 12:30:00 PM,399.4,62.82,,,,
103,11/01/25 01:00:00 PM,400.6,62.96,,,,
104,11/01/25 01:30:00 PM,398.8,62.74,,,,
105,11/01/25 02:00:00 PM,406.3,63.91,,,,
106,11/01/25 02:30:00 PM,403.0,63.28,,,,
107,11/01/25 03:00:00 PM,404.8,63.63,,,,
108,11/01/25 03:30:00 PM,406.5,63.91,,,,
109,11/01/25 04:00:00 PM,408.4,64.35,,,,
110,11/01/25 04:30:00 PM,410.1,64.67,,,,
111,11/01/25 05:00:00 PM,410.7,64.80,,,,
112,11/01/25 05:30:00 PM,410.9,64.81,,,,
113,11/01/25 06:00:00 PM,410.7,64.76,,,,
114,11/01/25 06:30:00 PM,410.1,64.60,,,,
115,11/01/25 07:00:00 PM,410.0,64.60,,,,
116,11/01/25 07:30:00 PM,409.9,64.54,,,,
117,11/01/25 08:00:00 PM,409.4,64.51,,,,
118,11/01/25 08:30:00 PM,409.4,64.49,,,,
119,11/01/25 09:00:00 PM,409.1,64.40,,,,
120,11/01/25 09:30:00 PM,408.9,64.31,,,,
121,11/01/25 10:00:00 PM,408.9,64.31,,,,
122,11/01/25 10:30:00 PM,408.3,64.15,,,,
123,11/01/25 11:00:00 PM,407.1,63.95,,,,
124,11/01/25 11:30:00 PM,406.8,63.90,,,,
125,11/02/25 12:00:00 AM,405.4,63.68,,,,
126,11/02/25 12:30:00 AM,404.4,63.54,,,,
127,11/02/25 01:00:00 AM,404.3,63.46,,,,
128,11/02/25 01:30:00 AM,404.5,63.50,,,,
129,11/02/25 02:00:00 AM,403.4,63.27,,,,
130,11/02/25 02:30:00 AM,403.4,63.21,,,,
131,11/02/25 03:00:00 AM,402.6,63.09,,,,
132,11/02/25 03:30:00 AM,402.3,62.98,,,,
133,11/02/25 04:00:00 AM,402.4,63.00,,,,
134,11/02/25 04:30:00 AM,399.2,62.65,,,,
135,11/02/25 05:00:00 AM,398.1,62.44,,,,
136,11/02/25 05:30:00 AM,397.9,62.38,,,,
137,11/02/25 06:00:00 AM,397.4,62.29,,,,
138,11/02/25 06:30:00 AM,397.3,62.20,,,,
139,11/02/25 07:00:00 AM,397.2,62.19,,,,
140,11/02/25 07:30:00 AM,396.8,62.08,,,,
141,11/02/25 08:00:00 AM,397.0,62.08,,,,
142,11/02/25 08:30:00 AM,396.5,61.97,,,,
143,11/02/25 09:00:00 AM,398.7,62.06,,,,
144,11/02/25 09:30:00 AM,397.9,61.97,,,,
145,11/02/25 10:00:00 AM,399.8,61.97,,,,
146,11/02/25 10:30:00 AM,404.8,61.97,,,,
147,11/02/25 11:00:00 AM,409.4,61.95,,,,
148,11/02/25 11:30:00 AM,410.6,62.10,,,,
149,11/02/25 12:00:00 PM,409.5,62.06,,,,
150,11/02/25 12:30:00 PM,412.3,62.55,,,,
151,11/02/25 01:00:00 PM,417.8,62.44,,,,
152,11/02/25 01:30:00 PM,418.0,63.00,,,,
153,11/02/25 02:00:00 PM,448.3,63.46,,,,
154,11/02/25 02:30:00 PM,461.0,63.54,,,,
155,11/02/25 03:00:00 PM,472.7,63.64,,,,
156,11/02/25 03:30:00 PM,482.3,63.59,,,,
157,11/02/25 04:00:00 PM,484.7,63.72,,,,
158,11/02/25 04:30:00 PM,464.6,64.09,,,,
159,11/02/25 05:00:00 PM,434.3,64.24,,,,
160,11/02/25 05:30:00 PM,425.2,64.40,,,,
161,11/02/25 06:00:00 PM,420.8,64.53,,,,
162,11/02/25 06:30:00 PM,418.7,64.45,,,,
163,11/02/25 07:00:00 PM,418.0,64.35,,,,
164,11/02/25 07:30:00 PM,417.9,64.31,,,,
165,11/02/25 08:00:00 PM,420.3,64.26,,,,
166,11/02/25 08:30:00 PM,420.7,64.26,,,,
167,11/02/25 09:00:00 PM,419.3,64.22,,,,
168,11/02/25 09:30:00 PM,423.2,64.08,,,,
169,11/02/25 10:00:00 PM,433.9,63.91,,,,
170,11/02/25 10:30:00 PM,438.2,63.91,,,,
171,11/02/25 11:00:00 PM,441.0,63.73,,,,
172,11/02/25 11:30:00 PM,445.8,63.54,,,,
173,11/03/25 12:00:00 AM,447.4,63.50,,,,
174,11/03/25 12:30:00 AM,446.8,63.41,,,,
175,11/03/25 01:00:00 AM,449.0,63.27,,,,
176,11/03/25 01:30:00 AM,456.7,63.18,,,,
177,11/03/25 02:00:00 AM,457.9,63.12,,,,
178,11/03/25 02:30:00 AM,464.4,62.98,,,,
179,11/03/25 03:00:00 AM,472.4,62.89,,,,
180,11/03/25 03:30:00 AM,475.5,62.87,,,,
181,11/03/25 04:00:00 AM,479.1,62.76,,,,
182,11/03/25 04:30:00 AM,484.2,62.56,,,,
183,11/03/25 05:00:00 AM,485.3,62.56,,,,
184,11/03/25 05:30:00 AM,457.9,62.47,,,,
185,11/03/25 06:00:00 AM,436.4,62.37,,,,
186,11/03/25 06:30:00 AM,431.2,62.24,,,,
187,11/03/25 07:00:00 AM,421.0,62.13,,,,
188,11/03/25 07:30:00 AM,423.7,62.13,,,,
189,11/03/25 08:00:00 AM,450.6,62.15,,,,
190,11/03/25 08:30:00 AM,450.0,62.08,,,,
191,11/03/25 09:00:00 AM,467.5,62.06,,,,
192,11/03/25 09:30:00 AM,479.5,61.97,,,,
193,11/03/25 10:00:00 AM,488.1,61.97,,,,
194,11/03/25 10:30:00 AM,493.7,61.88,,,,
195,11/03/25 11:00:00 AM,503.0,61.83,,,,
196,11/03/25 11:30:00 AM,504.5,61.79,,,,
197,11/03/25 12:00:00 PM,512.5,61.68,,,,
198,11/03/25 12:30:00 PM,513.5,61.74,,,,
199,11/03/25 01:00:00 PM,514.4,61.75,,,,
200,11/03/25 01:30:00 PM,516.7,61.84,,,,
201,11/03/25 02:00:00 PM,517.3,62.08,,,,
202,11/03/25 02:30:00 PM,518.9,62.29,,,,
203,11/03/25 03:00:00 PM,517.5,62.46,,,,
204,11/03/25 03:30:00 PM,500.3,62.69,,,,
205,11/03/25 04:00:00 PM,469.3,63.50,,,,
206,11/03/25 04:30:00 PM,445.6,63.91,,,,
207,11/03/25 05:00:00 PM,443.8,63.93,,,,
208,11/03/25 05:30:00 PM,447.2,63.70,,,,
209,11/03/25 06:00:00 PM,451.0,63.36,,,,
210,11/03/25 06:30:00 PM,446.0,63.18,,,,
211,11/03/25 07:00:00 PM,442.8,63.12,,,,
212,11/03/25 07:30:00 PM,442.3,63.10,,,,
213,11/03/25 08:00:00 PM,440.9,63.09,,,,
214,11/03/25 08:30:00 PM,438.1,63.12,,,,
215,11/03/25 09:00:00 PM,436.2,63.09,,,,
216,11/03/25 09:30:00 PM,432.8,63.07,,,,
217,11/03/25 10:00:00 PM,432.8,63.05,,,,
218,11/03/25 10:30:00 PM,433.4,62.87,,,,
219,11/03/25 11:00:00 PM,433.3,62.76,,,,
220,11/03/25 11:30:00 PM,433.9,62.80,,,,
221,11/04/25 12:00:00 AM,434.5,62.76,,,,
222,11/04/25 12:30:00 AM,435.8,62.71,,,,
223,11/04/25 01:00:00 AM,436.4,62.64,,,,
224,11/04/25 01:30:00 AM,436.9,62.60,,,,
225,11/04/25 02:00:00 AM,437.8,62.55,,,,
226,11/04/25 02:30:00 AM,438.3,62.49,,,,
227,11/04/25 03:00:00 AM,437.9,62.37,,,,
228,11/04/25 03:30:00 AM,437.7,62.24,,,,
229,11/04/25 04:00:00 AM,437.3,62.08,,,,
230,11/04/25 04:30:00 AM,437.4,62.08,,,,
231,11/04/25 05:00:00 AM,436.6,61.92,,,,
232,11/04/25 05:30:00 AM,435.6,61.79,,,,
233,11/04/25 06:00:00 AM,435.8,61.75,,,,
234,11/04/25 06:30:00 AM,432.9,61.52,,,,
235,11/04/25 07:00:00 AM,427.5,60.91,,,,
236,11/04/25 07:30:00 AM,427.4,60.76,,,,
237,11/04/25 08:00:00 AM,427.2,60.71,,,,
238,11/04/25 08:30:00 AM,427.3,60.73,,,,
239,11/04/25 09:00:00 AM,427.3,60.73,,,,
240,11/04/25 09:30:00 AM,427.5,60.73,,,,
241,11/04/25 10:00:00 AM,428.0,60.73,,,,
242,11/04/25 10:30:00 AM,427.8,60.75,,,,
243,11/04/25 11:00:00 AM,429.0,60.82,,,,
244,11/04/25 11:30:00 AM,430.8,60.91,,,,
245,11/04/25 12:00:00 PM,431.0,61.00,,,,
246,11/04/25 12:30:00 PM,432.0,61.07,,,,
247,11/04/25 01:00:00 PM,434.9,61.23,,,,
248,11/04/25 01:30:00 PM,435.7,61.30,,,,
249,11/04/25 02:00:00 PM,437.8,61.43,,,,
250,11/04/25 02:30:00 PM,439.8,61.54,,,,
251,11/04/25 03:00:00 PM,439.0,61.66,,,,
252,11/04/25 03:30:00 PM,440.8,61.84,,,,
253,11/04/25 04:00:00 PM,442.2,62.28,,,,
254,11/04/25 04:30:00 PM,441.9,62.55,,,,
255,11/04/25 05:00:00 PM,442.2,62.65,,,,
256,11/04/25 05:30:00 PM,442.4,62.76,,,,
257,11/04/25 06:00:00 PM,440.2,62.55,,,,
258,11/04/25 06:30:00 PM,438.3,62.28,,,,
259,11/04/25 07:00:00 PM,440.3,62.28,,,,
260,11/04/25 07:30:00 PM,445.7,62.24,,,,
261,11/04/25 08:00:00 PM,447.1,62.28,,,,
262,11/04/25 08:30:00 PM,446.7,62.29,,,,
263,11/04/25 09:00:00 PM,445.9,62.28,,,,
264,11/04/25 09:30:00 PM,445.0,62.37,,,,
265,11/04/25 10:00:00 PM,444.7,62.37,,,,
266,11/04/25 10:30:00 PM,443.8,62.33,,,,
267,11/04/25 11:00:00 PM,444.0,62.33,,,,
268,11/04/25 11:30:00 PM,444.6,62.29,,,,
269,11/05/25 12:00:00 AM,444.5,62.24,,,,
270,11/05/25 12:30:00 AM,444.6,62.20,,,,
271,11/05/25 01:00:00 AM,444.5,62.15,,,,
272,11/05/25 01:30:00 AM,444.4,62.10,,,,
273,11/05/25 02:00:00 AM,444.5,62.06,,,,
274,11/05/25 02:30:00 AM,444.1,62.02,,,,
275,11/05/25 03:00:00 AM,444.1,61.97,,,,
276,11/05/25 03:30:00 AM,444.1,61.92,,,,
277,11/05/25 04:00:00 AM,443.6,61.84,,,,
278,11/05/25 04:30:00 AM,443.0,61.72,,,,
279,11/05/25 05:00:00 AM,442.7,61.66,,,,
280,11/05/25 05:30:00 AM,442.7,61.66,,,,
281,11/05/25 06:00:00 AM,441.7,61.47,,,,
282,11/05/25 06:30:00 AM,442.0,61.48,,,,
283,11/05/25 07:00:00 AM,441.3,61.36,,,,
284,11/05/25 07:30:00 AM,436.6,61.07,,,,
285,11/05/25 08:00:00 AM,433.8,60.94,,,,
286,11/05/25 08:30:00 AM,431.7,60.93,,,,
287,11/05/25 09:00:00 AM,431.8,60.93,,,,
288,11/05/25 09:30:00 AM,432.7,61.00,,,,
289,11/05/25 10:00:00 AM,432.7,61.00,,,,
290,11/05/25 10:30:00 AM,432.6,60.94,,,,
291,11/05/25 11:00:00 AM,432.5,60.94,,,,
292,11/05/25 11:30:00 AM,431.9,60.91,,,,
293,11/05/25 12:00:00 PM,432.1,60.91,,,,
294,11/05/25 12:30:00 PM,431.7,60.85,,,,
295,11/05/25 01:00:00 PM,431.8,60.91,,,,
296,11/05/25 01:30:00 PM,431.1,60.85,,,,
297,11/05/25 02:00:00 PM,431.1,60.82,,,,
298,11/05/25 02:30:00 PM,432.2,60.94,,,,
299,11/05/25 03:00:00 PM,431.5,60.89,,,,
300,11/05/25 03:30:00 PM,426.4,60.80,,,,
301,11/05/25 04:00:00 PM,422.1,60.82,,,,
302,11/05/25 04:30:00 PM,427.8,60.84,,,,
303,11/05/25 05:00:00 PM,426.7,60.96,,,,
304,11/05/25 05:30:00 PM,463.1,61.27,,,,
305,11/05/25 06:00:00 PM,472.6,61.34,,,,
306,11/05/25 06:30:00 PM,463.1,61.30,,,,
307,11/05/25 07:00:00 PM,448.9,61.23,,,,
308,11/05/25 07:30:00 PM,443.2,61.20,,,,
309,11/05/25 08:00:00 PM,438.8,61.20,,,,
310,11/05/25 08:30:00 PM,433.4,61.20,,,,
311,11/05/25 09:00:00 PM,428.2,61.12,,,,
312,11/05/25 09:30:00 PM,424.6,61.07,,,,
313,11/05/25 10:00:00 PM,420.8,60.94,,,,
314,11/05/25 10:30:00 PM,421.4,60.82,,,,
315,11/05/25 11:00:00 PM,420.3,60.84,,,,
316,11/05/25 11:30:00 PM,421.5,60.69,,,,
317,11/06/25 12:00:00 AM,422.4,60.73,,,,
318,11/06/25 12:30:00 AM,421.7,60.76,,,,
319,11/06/25 01:00:00 AM,423.2,60.80,,,,
320,11/06/25 01:30:00 AM,424.3,60.75,,,,
321,11/06/25 02:00:00 AM,425.3,60.71,,,,
322,11/06/25 02:30:00 AM,424.9,60.69,,,,
323,11/06/25 03:00:00 AM,427.2,60.64,,,,
324,11/06/25 03:30:00 AM,425.3,60.58,,,,
325,11/06/25 04:00:00 AM,426.5,60.51,,,,
326,11/06/25 04:30:00 AM,447.1,60.21,,,,
327,11/06/25 05:00:00 AM,462.7,59.99,,,,
328,11/06/25 05:30:00 AM,472.4,59.86,,,,
329,11/06/25 06:00:00 AM,478.8,59.76,,,,
330,11/06/25 06:30:00 AM,479.7,59.68,,,,
331,11/06/25 07:00:00 AM,479.6,59.61,,,,
332,11/06/25 07:30:00 AM,479.1,59.52,,,,
333,11/06/25 08:00:00 AM,479.0,59.47,,,,
334,11/06/25 08:30:00 AM,479.0,59.47,,,,
335,11/06/25 09:00:00 AM,478.5,59.41,,,,
336,11/06/25 09:30:00 AM,475.1,59.36,,,,
337,11/06/25 10:00:00 AM,453.1,59.22,,,,
338,11/06/25 10:30:00 AM,456.9,59.36,,,,
339,11/06/25 11:00:00 AM,473.1,59.40,,,,
340,11/06/25 11:30:00 AM,476.3,59.41,,,,
341,11/06/25 12:00:00 PM,476.2,59.50,,,,
342,11/06/25 12:30:00 PM,478.9,59.67,,,,
343,11/06/25 01:00:00 PM,481.7,59.97,,,,
344,11/06/25 01:30:00 PM,484.7,60.24,,,,
345,11/06/25 02:00:00 PM,491.6,60.76,,,,
346,11/06/25 02:30:00 PM,495.1,60.89,,,,
347,11/06/25 03:00:00 PM,500.5,61.02,,,,
348,11/06/25 03:30:00 PM,508.0,61.34,,,,
349,11/06/25 04:00:00 PM,514.4,61.79,,,,
350,11/06/25 04:30:00 PM,519.5,62.06,,,,
351,11/06/25 05:00:00 PM,514.8,61.65,,,,
352,11/06/25 05:30:00 PM,476.2,61.74,,,,
353,11/06/25 06:00:00 PM,468.7,61.74,,,,
354,11/06/25 06:30:00 PM,473.4,61.21,,,,
355,11/06/25 07:00:00 PM,471.3,60.93,,,,
356,11/06/25 07:30:00 PM,470.4,60.85,,,,
357,11/06/25 08:00:00 PM,467.9,60.89,,,,
358,11/06/25 08:30:00 PM,462.4,60.94,,,,
359,11/06/25 09:00:00 PM,454.6,60.94,,,,
360,11/06/25 09:30:00 PM,449.6,60.94,,,,
361,11/06/25 10:00:00 PM,445.6,60.96,,,,
362,11/06/25 10:30:00 PM,444.6,61.23,,,,
363,11/06/25 11:00:00 PM,444.5,61.23,,,,
364,11/06/25 11:30:00 PM,444.9,61.25,,,,
365,11/07/25 12:00:00 AM,445.5,61.21,,,,
366,11/07/25 12:30:00 AM,446.1,61.16,,,,
367,11/07/25 01:00:00 AM,447.7,61.11,,,,
368,11/07/25 01:30:00 AM,451.0,61.03,,,,
369,11/07/25 02:00:00 AM,450.2,61.02,,,,
370,11/07/25 02:30:00 AM,451.1,60.93,,,,
371,11/07/25 03:00:00 AM,451.4,60.89,,,,
372,11/07/25 03:30:00 AM,451.9,60.84,,,,
373,11/07/25 04:00:00 AM,452.7,60.80,,,,
374,11/07/25 04:30:00 AM,453.3,60.71,,,,
375,11/07/25 05:00:00 AM,463.3,60.60,,,,
376,11/07/25 05:30:00 AM,481.2,60.49,,,,
377,11/07/25 06:00:00 AM,495.8,60.42,,,,
378,11/07/25 06:30:00 AM,501.1,60.40,,,,
379,11/07/25 07:00:00 AM,504.3,60.39,,,,
380,11/07/25 07:30:00 AM,505.6,60.35,,,,
381,11/07/25 08:00:00 AM,507.4,60.39,,,,
382,11/07/25 08:30:00 AM,509.0,60.40,,,,
383,11/07/25 09:00:00 AM,508.6,60.40,,,,
384,11/07/25 09:30:00 AM,506.8,60.40,,,,
385,11/07/25 10:00:00 AM,505.8,60.42,,,,
386,11/07/25 10:30:00 AM,492.1,60.42,,,,
387,11/07/25 11:00:00 AM,461.0,60.60,,,,
388,11/07/25 11:30:00 AM,474.9,60.51,,,,
389,11/07/25 12:00:00 PM,495.1,60.58,,,,
390,11/07/25 12:30:00 PM,503.9,60.60,,,,
391,11/07/25 01:00:00 PM,504.1,60.75,,,,
392,11/07/25 01:30:00 PM,506.6,61.11,,,,
393,11/07/25 02:00:00 PM,510.6,61.65,,,,
394,11/07/25 02:30:00 PM,514.0,62.24,,,,
395,11/07/25 03:00:00 PM,519.0,62.78,,,,
396,11/07/25 03:30:00 PM,522.1,62.89,,,,
397,11/07/25 04:00:00 PM,527.3,63.21,,,,
398,11/07/25 04:30:00 PM,528.4,63.28,,,,
399,11/07/25 05:00:00 PM,532.1,63.48,,,,
400,11/07/25 05:30:00 PM,530.1,63.21,,,,
401,11/07/25 06:00:00 PM,482.7,63.01,,,,
402,11/07/25 06:30:00 PM,473.5,62.91,,,,
403,11/07/25 07:00:00 PM,476.4,62.49,,,,
404,11/07/25 07:30:00 PM,477.2,61.83,,,,
405,11/07/25 08:00:00 PM,476.9,61.72,,,,
406,11/07/25 08:30:00 PM,476.0,61.61,,,,
407,11/07/25 09:00:00 PM,472.1,61.57,,,,
408,11/07/25 09:30:00 PM,468.2,61.56,,,,
409,11/07/25 10:00:00 PM,464.2,61.54,,,,
410,11/07/25 10:30:00 PM,460.0,61.47,,,,
411,11/07/25 11:00:00 PM,457.7,61.54,,,,
412,11/07/25 11:30:00 PM,452.5,61.68,,,,
413,11/08/25 12:00:00 AM,451.8,61.66,,,,
414,11/08/25 12:30:00 AM,451.4,61.65,,,,
415,11/08/25 01:00:00 AM,455.6,61.48,,,,
416,11/08/25 01:30:00 AM,456.7,61.43,,,,
417,11/08/25 02:00:00 AM,457.7,61.36,,,,
418,11/08/25 02:30:00 AM,459.0,61.32,,,,
419,11/08/25 03:00:00 AM,459.6,61.21,,,,
420,11/08/25 03:30:00 AM,460.0,61.11,,,,
421,11/08/25 04:00:00 AM,460.4,61.02,,,,
422,11/08/25 04:30:00 AM,460.8,60.91,,,,
423,11/08/25 05:00:00 AM,471.5,60.73,,,,
424,11/08/25 05:30:00 AM,491.0,60.60,,,,
425,11/08/25 06:00:00 AM,499.7,60.51,,,,
426,11/08/25 06:30:00 AM,502.4,60.42,,,,
427,11/08/25 07:00:00 AM,503.7,60.42,,,,
428,11/08/25 07:30:00 AM,503.9,60.39,,,,
429,11/08/25 08:00:00 AM,503.0,60.30,,,,
430,11/08/25 08:30:00 AM,503.4,60.24,,,,
431,11/08/25 09:00:00 AM,503.1,60.19,,,,
432,11/08/25 09:30:00 AM,502.4,60.10,,,,
433,11/08/25 10:00:00 AM,501.4,60.03,,,,
434,11/08/25 10:30:00 AM,501.1,59.97,,,,
435,11/08/25 11:00:00 AM,501.0,59.97,,,,
436,11/08/25 11:30:00 AM,500.8,59.99,,,,
437,11/08/25 12:00:00 PM,500.7,59.99,,,,
438,11/08/25 12:30:00 PM,500.7,60.10,,,,
439,11/08/25 01:00:00 PM,500.9,60.12,,,,
440,11/08/25 01:30:00 PM,500.9,60.28,,,,
441,11/08/25 02:00:00 PM,502.6,60.58,,,,
442,11/08/25 02:30:00 PM,506.7,61.00,,,,
443,11/08/25 03:00:00 PM,513.2,61.41,,,,
444,11/08/25 03:30:00 PM,516.1,61.57,,,,
445,11/08/25 04:00:00 PM,524.4,62.33,,,,
446,11/08/25 04:30:00 PM,525.0,62.33,,,,
447,11/08/25 05:00:00 PM,525.5,62.47,,,,
448,11/08/25 05:30:00 PM,527.5,62.67,,,,
449,11/08/25 06:00:00 PM,528.6,62.76,,,,
450,11/08/25 06:30:00 PM,530.6,62.98,,,,
451,11/08/25 07:00:00 PM,527.8,62.87,,,,
452,11/08/25 07:30:00 PM,492.4,62.58,,,,
453,11/08/25 08:00:00 PM,484.8,62.49,,,,
454,11/08/25 08:30:00 PM,501.5,62.35,,,,
455,11/08/25 09:00:00 PM,497.8,61.86,,,,
456,11/08/25 09:30:00 PM,493.4,61.48,,,,
457,11/08/25 10:00:00 PM,491.9,61.16,,,,
458,11/08/25 10:30:00 PM,488.8,61.05,,,,
459,11/08/25 11:00:00 PM,486.8,61.11,,,,
460,11/08/25 11:30:00 PM,482.4,61.14,,,,
461,11/09/25 12:00:00 AM,479.0,61.20,,,,
462,11/09/25 12:30:00 AM,480.0,61.14,,,,
463,11/09/25 01:00:00 AM,481.3,61.14,,,,
464,11/09/25 01:30:00 AM,481.7,61.05,,,,
465,11/09/25 02:00:00 AM,482.9,61.05,,,,
466,11/09/25 02:30:00 AM,482.8,60.96,,,,
467,11/09/25 03:00:00 AM,483.3,60.89,,,,
468,11/09/25 03:30:00 AM,483.9,60.85,,,,
469,11/09/25 04:00:00 AM,484.0,60.82,,,,
470,11/09/25 04:30:00 AM,490.6,60.64,,,,
